PartNumber,widthX,lengthY,height,landingX,landingInsideX,landingY,padX,padY,datasheet
XHMI-6060,6.65,6.45,5.8,1.45,2.55,5.5,1.3,4.9,https://www.we-online.com/components/products/datasheet/74439346068.pdf
XHMI-8080,8.8,8.3,7.8,1.6,3.4,7.35,1.4,6.5,https://www.we-online.com/components/products/datasheet/74439358068.pdf
