PartNumber,lengthY,widthX,height,padY,padX,landingY,landingInsideX,landingX,datasheet
LQFS-3818,3.8,3.8,1.8,2,1.3,2.8,1,1.6,https://www.we-online.com/components/products/datasheet/74406032010.pdf
LQFS-4818,4.8,4.8,1.8,3,1.6,3.6,1.4,2,https://www.we-online.com/components/products/datasheet/74406042010.pdf
LQFS-4828,4.8,4.8,2.8,3,1.6,3.6,1.4,2,https://www.we-online.com/components/products/datasheet/74406043012.pdf
